amount,hour_of_day,mcc,country,velocity_5m,velocity_1h,velocity_24h,user_30d_avg,amount_to_avg_ratio,is_foreign,is_night,is_high_risk_mcc,is_fraud
30.85,20,5912,US,0,1,5,84.21,0.37,0,0,0,0
19.49,13,5311,US,0,1,1,105.46,0.18,0,0,0,0
117.13,16,5732,US,1,2,4,130.42,0.9,0,0,1,0
69.6,15,5411,US,0,0,5,114.75,0.61,0,0,0,0
43.63,15,4121,US,0,2,6,99.22,0.44,0,0,0,0
98.79,20,4121,US,0,0,2,105.65,0.94,0,0,0,0
162.89,11,5411,DE,2,2,3,66.97,2.43,1,0,0,0
54.88,15,5311,US,0,1,2,146.11,0.38,0,0,0,0
30.08,7,5732,US,0,1,3,108.11,0.28,0,0,1,0
25.06,14,4121,US,0,0,2,79.64,0.31,0,0,0,0
18.72,9,5411,US,0,1,3,114.35,0.16,0,0,0,0
26.36,21,5311,US,0,3,6,72.16,0.37,0,0,0,0
28.52,13,5912,US,0,0,2,107.95,0.26,0,0,0,0
73.48,15,5912,US,0,0,3,102.74,0.72,0,0,0,0
45.06,23,5912,US,0,0,6,96.19,0.47,0,0,0,0
14.34,15,5812,US,0,0,5,68.14,0.21,0,0,0,0
40.54,10,5541,US,0,0,1,118.17,0.34,0,0,0,0
7.37,12,5411,US,0,0,2,116.54,0.06,0,0,0,0
60.96,15,5411,US,1,1,2,65.0,0.94,0,0,0,0
53.34,13,5311,US,0,1,1,132.9,0.4,0,0,0,0
64.65,19,5732,US,0,0,4,100.56,0.64,0,0,1,0
6.73,12,5311,US,0,2,4,51.13,0.13,0,0,0,0
39.63,3,5812,US,0,1,1,75.36,0.53,0,1,0,0
228.95,13,5912,US,0,1,2,91.03,2.52,0,0,0,0
49.02,13,5541,US,0,0,1,113.92,0.43,0,0,0,0
53.47,12,5411,US,0,1,3,50.49,1.06,0,0,0,0
14.28,14,5814,US,0,2,5,107.25,0.13,0,0,0,0
2.5,20,5732,US,0,0,5,92.61,0.03,0,0,1,0
31.07,17,5812,US,0,1,4,133.59,0.23,0,0,0,0
12.84,20,5814,US,0,1,7,81.11,0.16,0,0,0,0
12.58,21,5732,US,0,1,3,99.83,0.13,0,0,1,0
118.33,8,5912,US,1,3,5,145.52,0.81,0,0,0,0
12.33,16,5541,US,1,1,3,95.65,0.13,0,0,0,0
54.37,13,5814,US,0,0,2,134.58,0.4,0,0,0,0
58.76,4,5541,GB,0,2,8,140.61,0.42,1,1,0,0
3.91,17,5411,US,0,1,5,95.68,0.04,0,0,0,0
10.49,9,5732,US,0,0,1,106.19,0.1,0,0,1,0
59.0,13,4121,US,1,1,1,51.04,1.16,0,0,0,0
34.83,8,5732,US,0,0,3,71.1,0.49,0,0,1,0
72.03,14,4121,US,0,2,5,93.74,0.77,0,0,0,0
81.91,15,5812,US,1,2,5,86.68,0.94,0,0,0,0
36.36,22,5311,US,0,2,3,131.37,0.28,0,0,0,0
26.39,13,4121,US,0,2,5,59.06,0.45,0,0,0,0
35.09,17,5812,US,0,2,4,132.72,0.26,0,0,0,0
65.44,15,5912,FR,0,1,4,105.61,0.62,1,0,0,0
20.72,13,5732,US,0,2,4,148.95,0.14,0,0,1,0
11.92,22,5732,US,1,3,6,98.38,0.12,0,0,1,0
13.25,13,5732,US,0,0,2,60.06,0.22,0,0,1,0
8.42,6,5812,US,1,2,3,135.91,0.06,0,0,0,0
27.76,9,5912,US,0,0,1,59.48,0.47,0,0,0,0
105.28,16,4121,US,0,1,3,98.18,1.07,0,0,0,0
26.74,11,5812,US,0,0,0,99.89,0.27,0,0,0,0
17.82,16,4121,US,0,1,1,105.74,0.17,0,0,0,0
758.19,6,4829,GB,10,12,18,89.37,8.48,1,0,1,1
202.47,15,5311,US,0,1,4,50.95,3.97,0,0,0,0
44.42,3,5411,US,0,1,3,64.32,0.69,0,1,0,0
22.6,12,5814,US,0,0,3,148.69,0.15,0,0,0,0
4.36,5,4121,US,0,2,3,100.7,0.04,0,1,0,0
572.63,17,5411,US,0,2,4,86.32,6.63,0,0,0,0
38.1,13,5411,US,0,0,3,118.37,0.32,0,0,0,0
23.3,10,5541,US,0,0,1,52.68,0.44,0,0,0,0
198.95,8,5732,US,0,0,3,108.92,1.83,0,0,1,0
35.63,11,4121,US,0,1,4,77.81,0.46,0,0,0,0
10.95,16,5411,US,1,1,2,108.15,0.1,0,0,0,0
26.14,14,4121,US,1,3,6,98.68,0.26,0,0,0,0
129.21,9,5814,US,0,1,3,85.73,1.51,0,0,0,0
39.25,12,5541,US,0,0,1,118.7,0.33,0,0,0,0
67.67,18,5812,US,0,2,5,75.47,0.9,0,0,0,0
49.88,10,5814,US,0,1,2,89.89,0.55,0,0,0,0
51.22,16,5814,US,0,1,6,84.65,0.61,0,0,0,0
28.93,7,4121,US,0,0,3,133.9,0.22,0,0,0,0
29.08,9,5732,US,0,0,3,106.48,0.27,0,0,1,0
43.03,12,5814,US,0,1,3,107.86,0.4,0,0,0,0
32.75,9,5812,US,0,1,6,56.77,0.58,0,0,0,0
32.63,10,5311,US,1,1,7,140.1,0.23,0,0,0,0
97.04,16,5912,US,0,1,1,112.4,0.86,0,0,0,0
20.02,14,5812,US,0,4,10,80.03,0.25,0,0,0,0
20.78,11,5311,US,0,0,6,139.69,0.15,0,0,0,0
50.09,7,5732,US,0,1,4,56.61,0.88,0,0,1,0
49.97,19,5311,US,0,0,4,60.2,0.83,0,0,0,0
43.9,15,4121,US,0,0,1,123.72,0.35,0,0,0,0
33.93,19,5311,US,0,0,3,65.87,0.52,0,0,0,0
14.33,17,5541,US,0,0,3,77.62,0.18,0,0,0,0
113.18,15,4121,US,0,0,1,81.67,1.39,0,0,0,0
38.65,22,5912,US,0,0,2,85.35,0.45,0,0,0,0
30.5,11,5541,US,0,1,4,65.6,0.46,0,0,0,0
79.94,11,4121,US,0,0,3,141.95,0.56,0,0,0,0
81.14,17,4121,US,0,0,3,103.63,0.78,0,0,0,0
61.73,11,4121,US,1,1,3,127.99,0.48,0,0,0,0
44.39,14,5732,US,0,0,2,116.59,0.38,0,0,1,0
75.24,12,5812,US,0,1,3,70.61,1.07,0,0,0,0
25.03,15,4121,US,0,1,4,57.82,0.43,0,0,0,0
34.11,9,5814,US,0,0,2,129.04,0.26,0,0,0,0
133.38,8,5311,US,0,1,2,105.22,1.27,0,0,0,0
17.78,17,5732,US,0,0,1,125.54,0.14,0,0,1,0
33.06,10,5912,US,0,2,5,75.95,0.44,0,0,0,0
36.08,13,5912,US,0,1,4,67.53,0.53,0,0,0,0
100.22,12,5732,US,0,1,6,109.98,0.91,0,0,1,0
32.8,14,5732,US,1,2,7,75.74,0.43,0,0,1,0
39.44,11,4121,US,0,0,2,93.34,0.42,0,0,0,0
35.48,19,4121,US,0,1,4,78.15,0.45,0,0,0,0
149.8,18,5541,US,0,1,4,106.55,1.41,0,0,0,0
93.96,18,5812,US,0,4,7,126.58,0.74,0,0,0,0
18.52,13,5912,US,0,1,1,102.79,0.18,0,0,0,0
42.0,13,5912,US,0,0,6,113.57,0.37,0,0,0,0
30.78,17,5814,US,0,0,4,83.21,0.37,0,0,0,0
3384.45,3,6051,UA,1,5,9,95.02,35.62,1,1,1,1
13.46,12,5814,US,0,1,3,55.57,0.24,0,0,0,0
14.19,11,5814,US,2,4,8,125.62,0.11,0,0,0,0
32.18,22,5411,US,0,3,7,133.78,0.24,0,0,0,0
65.7,5,5541,US,0,0,3,68.83,0.95,0,1,0,0
162.97,16,5541,US,0,1,3,145.62,1.12,0,0,0,0
71.02,16,5814,US,0,0,6,123.62,0.57,0,0,0,0
116.56,10,5411,US,0,1,4,100.06,1.16,0,0,0,0
17.16,18,5411,US,1,3,6,86.06,0.2,0,0,0,0
48.48,17,5912,US,2,3,7,115.24,0.42,0,0,0,0
3229.01,23,5944,CN,3,4,8,74.16,43.54,1,0,1,1
14.79,12,5814,US,0,1,5,58.3,0.25,0,0,0,0
335.14,8,5732,US,0,0,2,85.37,3.93,0,0,1,0
73.7,17,5411,US,0,2,5,92.81,0.79,0,0,0,0
38.5,12,5311,US,0,2,3,132.05,0.29,0,0,0,0
59.13,11,5812,US,1,2,3,61.8,0.96,0,0,0,0
37.0,14,5541,US,1,2,6,85.32,0.43,0,0,0,0
22.15,17,5411,US,0,0,1,136.62,0.16,0,0,0,0
147.51,19,5411,US,0,0,0,54.6,2.7,0,0,0,0
202.23,14,5311,US,0,0,6,106.09,1.91,0,0,0,0
31.03,13,4121,US,0,1,4,58.06,0.53,0,0,0,0
24.84,16,5541,US,0,1,4,76.2,0.33,0,0,0,0
31.87,6,5311,US,0,1,2,146.82,0.22,0,0,0,0
170.7,20,5814,US,0,1,4,132.63,1.29,0,0,0,0
66.81,7,5732,US,0,1,4,119.1,0.56,0,0,1,0
14.78,11,5732,DE,0,2,4,137.58,0.11,1,0,1,0
22.53,12,5812,US,0,0,3,66.97,0.34,0,0,0,0
19.92,9,5912,US,0,1,2,102.92,0.19,0,0,0,0
101.96,7,5814,US,0,3,6,142.6,0.72,0,0,0,0
101.62,22,5732,US,0,1,7,112.01,0.91,0,0,1,0
60.0,15,4121,US,0,0,0,143.65,0.42,0,0,0,0
75.34,18,4121,US,0,1,2,75.48,1.0,0,0,0,0
56.74,16,5732,US,0,1,5,65.65,0.86,0,0,1,0
27.47,17,5814,US,1,2,4,121.56,0.23,0,0,0,0
89.37,17,5311,US,0,0,2,125.72,0.71,0,0,0,0
18.46,11,5732,US,0,2,4,103.83,0.18,0,0,1,0
1917.48,1,6051,CY,1,4,4,63.05,30.41,1,1,1,1
67.48,13,5311,US,0,0,0,130.75,0.52,0,0,0,0
9.77,13,5541,US,0,0,4,86.23,0.11,0,0,0,0
105.29,13,5311,US,0,1,2,70.99,1.48,0,0,0,0
69.67,16,5311,US,0,0,1,80.24,0.87,0,0,0,0
14.8,13,5311,US,0,1,2,125.28,0.12,0,0,0,0
42.82,11,5812,US,0,4,9,71.51,0.6,0,0,0,0
47.33,13,5814,US,0,0,2,50.17,0.94,0,0,0,0
55.59,16,5814,US,0,2,7,74.89,0.74,0,0,0,0
12.57,15,5912,GB,0,4,7,133.12,0.09,1,0,0,0
45.55,18,4121,US,1,3,6,138.19,0.33,0,0,0,0
71.78,17,5814,US,0,1,4,62.01,1.16,0,0,0,0
32.44,15,5814,US,0,1,7,102.43,0.32,0,0,0,0
48.69,14,5732,US,0,1,1,119.93,0.41,0,0,1,0
471.94,2,5944,RO,10,23,18,61.86,7.63,1,1,1,1
50.79,11,5541,US,0,0,5,119.38,0.43,0,0,0,0
96.0,16,5812,US,0,0,0,102.79,0.93,0,0,0,0
30.88,15,5912,US,1,1,2,128.44,0.24,0,0,0,0
20.43,12,5411,US,0,0,1,143.14,0.14,0,0,0,0
54.3,15,5411,US,0,1,4,131.17,0.41,0,0,0,0
34.76,17,5814,US,0,0,3,143.09,0.24,0,0,0,0
318.48,10,5732,US,0,0,4,73.0,4.36,0,0,1,0
235.39,16,5411,US,0,1,5,122.8,1.92,0,0,0,0
50.93,12,4121,US,0,1,5,79.56,0.64,0,0,0,0
37.98,15,5912,US,0,1,3,125.98,0.3,0,0,0,0
31.38,17,5814,US,0,2,2,87.94,0.36,0,0,0,0
19.02,12,5541,US,0,0,2,147.34,0.13,0,0,0,0
128.87,11,5912,CA,0,1,2,116.47,1.11,1,0,0,0
30.11,7,5732,US,0,1,5,136.56,0.22,0,0,1,0
47.32,11,5814,US,0,2,3,133.51,0.35,0,0,0,0
40.93,8,5411,US,1,2,6,115.86,0.35,0,0,0,0
8.29,13,5311,US,0,0,5,143.46,0.06,0,0,0,0
52.98,13,5411,US,1,2,2,87.17,0.61,0,0,0,0
46.53,14,5812,US,2,4,6,139.29,0.33,0,0,0,0
39.83,11,5812,US,0,0,5,57.45,0.69,0,0,0,0
57.41,17,5411,US,0,0,2,123.35,0.47,0,0,0,0
6.67,13,5814,US,0,0,4,85.36,0.08,0,0,0,0
28.62,23,5912,US,0,1,4,87.18,0.33,0,0,0,0
61.16,6,5541,US,0,3,6,99.21,0.62,0,0,0,0
10.71,14,5732,US,0,2,4,51.24,0.21,0,0,1,0
13.17,11,5912,US,0,2,7,128.04,0.1,0,0,0,0
133.34,15,5411,US,0,1,2,80.63,1.65,0,0,0,0
46.93,18,5732,US,0,1,2,106.27,0.44,0,0,1,0
188.36,9,5814,US,1,1,3,59.03,3.19,0,0,0,0
6.67,16,5912,US,0,1,3,91.16,0.07,0,0,0,0
7.78,16,5541,US,0,1,4,123.83,0.06,0,0,0,0
39.74,16,5411,US,0,1,4,149.48,0.27,0,0,0,0
13.6,14,5814,US,0,0,1,78.61,0.17,0,0,0,0
132.77,19,5812,US,2,2,7,149.8,0.89,0,0,0,0
73.84,18,5411,US,0,1,3,134.59,0.55,0,0,0,0
168.39,11,5541,US,0,0,3,80.55,2.09,0,0,0,0
302.3,16,5411,US,0,0,3,129.8,2.33,0,0,0,0
21.65,11,5541,US,0,1,6,94.59,0.23,0,0,0,0
94.19,19,5814,US,2,3,5,91.64,1.03,0,0,0,0
172.57,12,5541,US,1,3,7,76.27,2.26,0,0,0,0
49.94,15,5411,US,1,1,2,129.09,0.39,0,0,0,0
17.83,18,5311,US,0,3,5,94.58,0.19,0,0,0,0
20.25,10,4121,US,1,1,5,56.66,0.36,0,0,0,0
20.3,16,5311,US,0,0,6,88.41,0.23,0,0,0,0
19.29,12,5814,US,1,1,4,105.15,0.18,0,0,0,0
49.65,8,5814,US,0,0,2,126.97,0.39,0,0,0,0
37.47,11,5912,US,1,2,2,95.02,0.39,0,0,0,0
51.03,16,5814,US,0,3,6,61.93,0.82,0,0,0,0
417.34,15,5732,US,0,0,1,89.08,4.69,0,0,1,0
250.36,17,5912,US,0,0,3,118.38,2.11,0,0,0,0
35.75,13,4121,US,0,1,1,67.09,0.53,0,0,0,0
70.63,10,5541,US,0,0,2,55.9,1.26,0,0,0,0
93.85,15,5732,US,0,0,3,104.17,0.9,0,0,1,0
43.55,10,4121,US,0,1,3,76.68,0.57,0,0,0,0
58.4,14,5812,US,0,1,5,86.34,0.68,0,0,0,0
27.48,14,5732,US,0,0,1,66.29,0.41,0,0,1,0
76.3,18,5411,US,0,0,5,56.35,1.35,0,0,0,0
71.56,11,5541,US,0,1,4,102.32,0.7,0,0,0,0
135.58,19,5311,US,1,2,7,111.5,1.22,0,0,0,0
132.89,12,5812,US,0,1,3,65.96,2.01,0,0,0,0
252.14,1,5912,US,0,1,6,126.93,1.99,0,1,0,0
394.69,15,5411,JP,1,1,2,72.21,5.47,1,0,0,0
38.6,12,5411,US,1,1,5,79.79,0.48,0,0,0,0
43.65,19,5812,US,0,0,5,51.7,0.84,0,0,0,0
104.79,7,5541,US,0,2,4,82.71,1.27,0,0,0,0
51.48,21,5814,US,0,0,1,139.15,0.37,0,0,0,0
17.16,10,5812,US,0,1,3,101.31,0.17,0,0,0,0
16.8,5,4121,US,0,2,5,91.06,0.18,0,1,0,0
67.32,10,5912,US,0,0,1,107.41,0.63,0,0,0,0
36.51,17,5814,US,0,2,6,121.47,0.3,0,0,0,0
12.44,16,5812,US,0,0,2,69.78,0.18,0,0,0,0
4.18,15,5812,CA,0,1,3,148.91,0.03,1,0,0,0
21.26,14,5912,US,0,1,3,61.41,0.35,0,0,0,0
86.05,6,5814,US,0,1,2,53.9,1.6,0,0,0,0
39.02,13,4121,US,1,1,2,99.57,0.39,0,0,0,0
184.71,19,4121,US,1,1,5,65.89,2.8,0,0,0,0
195.37,13,5541,US,0,1,2,147.18,1.33,0,0,0,0
140.53,12,5541,US,0,1,5,81.34,1.73,0,0,0,0
205.1,11,4121,US,0,3,6,78.74,2.6,0,0,0,0
877.0,9,6051,GB,10,12,31,60.05,14.6,1,0,1,1
88.21,15,5912,US,0,0,1,134.05,0.66,0,0,0,0
73.21,5,5812,US,0,0,3,87.15,0.84,0,1,0,0
36.06,12,5541,DE,1,3,5,103.41,0.35,1,0,0,0
412.74,15,5311,US,0,0,3,107.09,3.85,0,0,0,0
23.54,7,5732,US,0,0,2,108.24,0.22,0,0,1,0
9.55,17,5912,US,0,2,6,81.84,0.12,0,0,0,0
78.37,11,4121,US,0,0,3,96.92,0.81,0,0,0,0
58.62,11,5912,US,0,1,4,117.18,0.5,0,0,0,0
151.12,20,5311,US,0,1,1,71.98,2.1,0,0,0,0
76.21,15,5411,US,1,2,4,143.43,0.53,0,0,0,0
61.15,15,5411,US,0,0,0,108.9,0.56,0,0,0,0
58.41,21,5912,US,0,2,6,82.01,0.71,0,0,0,0
27.95,18,5732,US,0,0,3,143.93,0.19,0,0,1,0
80.51,17,4121,US,0,0,2,88.9,0.91,0,0,0,0
41.53,16,5912,US,0,1,2,120.19,0.35,0,0,0,0
13.16,16,5912,US,0,1,3,53.27,0.25,0,0,0,0
29.93,19,5541,US,0,1,2,147.71,0.2,0,0,0,0
52.96,12,5311,US,0,2,7,61.86,0.86,0,0,0,0
58.59,11,5541,US,0,1,1,98.02,0.6,0,0,0,0
162.28,16,5311,US,0,0,1,75.83,2.14,0,0,0,0
130.83,13,5814,US,0,1,2,54.71,2.39,0,0,0,0
162.0,18,5411,US,0,2,5,123.35,1.31,0,0,0,0
22.11,12,5912,US,0,1,5,135.31,0.16,0,0,0,0
74.29,14,5411,US,0,0,2,77.85,0.95,0,0,0,0
12.24,16,4121,US,0,0,2,75.91,0.16,0,0,0,0
60.45,22,5732,US,0,1,5,90.04,0.67,0,0,1,0
17.04,17,5912,US,0,1,4,50.04,0.34,0,0,0,0
15.25,16,5812,US,0,1,2,130.48,0.12,0,0,0,0
24.24,12,5541,US,1,1,5,93.08,0.26,0,0,0,0
14.73,23,5812,US,0,0,2,148.12,0.1,0,0,0,0
20.34,17,5311,US,0,1,2,73.37,0.28,0,0,0,0
20.95,13,5411,US,0,2,2,59.41,0.35,0,0,0,0
174.89,16,5541,US,0,0,4,99.92,1.75,0,0,0,0
64.37,14,4121,US,0,0,4,72.05,0.89,0,0,0,0
67.64,11,5814,US,1,3,8,104.92,0.64,0,0,0,0
63.58,14,5814,US,2,2,3,77.69,0.82,0,0,0,0
79.82,16,5814,US,0,0,2,60.06,1.33,0,0,0,0
34.1,13,5812,FR,1,1,2,62.08,0.55,1,0,0,0
200.97,12,5912,US,1,3,4,118.22,1.7,0,0,0,0
45.6,13,5812,US,0,2,4,69.02,0.66,0,0,0,0
54.8,11,5541,US,0,1,3,118.47,0.46,0,0,0,0
2857.41,20,5732,CN,2,5,7,69.09,41.36,1,0,1,1
290.36,10,4121,US,0,1,2,75.9,3.83,0,0,0,0
4549.28,5,5944,US,2,6,5,64.02,71.06,0,1,1,1
30.93,13,5411,US,0,1,3,128.37,0.24,0,0,0,0
94.32,12,5541,US,0,1,4,93.47,1.01,0,0,0,0
2645.51,19,4829,CN,2,6,9,73.71,35.89,1,0,1,1
8641.51,1,6051,RO,1,6,4,85.53,101.03,1,1,1,1
39.08,15,4121,US,0,2,4,101.33,0.39,0,0,0,0
190.58,7,5311,US,0,0,5,122.79,1.55,0,0,0,0
14.49,14,5732,US,0,3,4,76.25,0.19,0,0,1,0
90.89,14,5411,US,0,0,2,89.81,1.01,0,0,0,0
136.12,12,5814,US,0,1,3,107.97,1.26,0,0,0,0
51.69,10,5912,DE,0,1,6,137.99,0.37,1,0,0,0
3496.71,4,4829,RU,4,7,9,78.57,44.5,1,1,1,1
13.49,11,5814,US,1,4,4,129.39,0.1,0,0,0,0
88.05,15,5814,US,1,3,5,91.69,0.96,0,0,0,0
28.07,17,5541,US,0,0,3,61.88,0.45,0,0,0,0
96.9,10,5311,US,0,0,2,90.81,1.07,0,0,0,0
68.99,15,5814,US,0,1,3,74.16,0.93,0,0,0,0
28.99,8,5732,US,0,1,5,90.68,0.32,0,0,1,0
360.49,23,6051,RO,7,10,35,91.76,3.93,1,0,1,1
167.31,21,5311,US,0,1,3,52.18,3.21,0,0,0,0
780.06,10,6051,RO,4,15,25,75.74,10.3,1,0,1,1
77.8,8,4121,US,0,0,1,138.61,0.56,0,0,0,0
34.86,9,5541,US,0,0,2,51.96,0.67,0,0,0,0
61.42,12,5411,US,0,1,3,132.12,0.46,0,0,0,0
25.34,12,4121,US,0,0,2,74.26,0.34,0,0,0,0
11.53,16,5732,US,0,1,6,123.35,0.09,0,0,1,0
11.23,19,5732,US,0,0,4,125.46,0.09,0,0,1,0
56.29,22,5411,US,0,0,2,65.93,0.85,0,0,0,0
161.38,17,5812,US,0,0,1,132.25,1.22,0,0,0,0
30.04,19,5541,US,0,0,5,141.9,0.21,0,0,0,0
15.3,14,5311,US,0,0,3,52.02,0.29,0,0,0,0
23.24,19,5814,US,0,1,2,116.85,0.2,0,0,0,0
115.79,21,5814,US,0,0,4,132.29,0.88,0,0,0,0
36.17,14,5912,US,0,0,3,141.04,0.26,0,0,0,0
141.92,16,5411,US,0,2,3,82.62,1.72,0,0,0,0
1806.21,7,5944,CN,4,2,10,64.37,28.06,1,0,1,1
122.61,13,5732,US,0,2,6,63.74,1.92,0,0,1,0
13.75,15,5912,US,1,2,2,95.58,0.14,0,0,0,0
11.31,18,5732,US,1,4,7,72.32,0.16,0,0,1,0
77.73,8,5311,US,0,1,5,96.69,0.8,0,0,0,0
34.28,17,5411,US,0,0,4,106.28,0.32,0,0,0,0
143.79,18,5411,US,0,0,1,76.96,1.87,0,0,0,0
35.9,12,5732,CA,0,0,4,61.89,0.58,1,0,1,0
