transaction_id,customer_id,amount,merchant,merchant_category,location,country,device_id,ip_address,browser,timestamp,is_fraud,fraud_scenario,is_synthetic,risk_notes
SYN-TX-NORM-A4F431E97E,SYN-CUST-00044,54.2,Uber Rides & Eats (Synthetic),transportation,"New York, NY",US,SYN-DEV-00731-AE719B,198.51.100.155,Chrome Mobile 128.0 (Android 14),2026-08-29T13:33:50.254878+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-9B19BABC00,SYN-CUST-00102,13.23,FreshMart Supermarket (Synthetic),grocery,Munich,DE,SYN-DEV-00055-19AB6C,192.0.3.139,Safari 17.5 (macOS Sonoma),2026-08-29T13:35:02.571970+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-5C6BC5B0BD,SYN-CUST-00009,77.63,Amazon Marketplace Online (Synthetic),ecommerce,"San Francisco, CA",US,SYN-DEV-00087-060273,198.51.101.188,Chrome 128.0 (Windows 11),2026-08-29T13:37:09.289288+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-0609F1FC5D,SYN-CUST-00110,37.57,Walgreens Pharmacy (Synthetic),pharmacy,"Toronto, ON",CA,SYN-DEV-00580-59457B,198.18.0.125,Firefox 130.0 (Windows 10),2026-08-29T13:38:52.985397+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-0FCDBA18D4,SYN-CUST-00122,49.29,Amazon Marketplace Online (Synthetic),ecommerce,London,GB,SYN-DEV-00591-D2FCA2,203.0.113.230,Chrome Mobile 128.0 (Android 14),2026-08-29T13:43:57.732334+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-A6256B0080,SYN-CUST-00086,46.13,Walgreens Pharmacy (Synthetic),pharmacy,Paris,FR,SYN-DEV-00525-F7667A,192.0.4.190,Chrome 128.0 (macOS Sonoma),2026-08-29T13:44:39.720699+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-6DC1F69DAB,SYN-CUST-00113,95.52,FreshMart Supermarket (Synthetic),grocery,"Austin, TX",US,SYN-DEV-00749-E9DD7B,198.51.103.101,Chrome 128.0 (macOS Sonoma),2026-08-29T13:44:58.350724+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-AF71F89522,SYN-CUST-00208,209.51,Netflix Subscription Service (Synthetic),digital_goods,Tokyo,JP,SYN-DEV-00303-A911A0,203.0.115.92,Edge 128.0 (Windows 11),2026-08-29T13:50:15.770437+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-C6507D0C3E,SYN-CUST-00026,106.39,Uber Rides & Eats (Synthetic),transportation,"Chicago, IL",US,SYN-DEV-00106-EE1C34,198.51.102.8,Firefox 130.0 (Windows 10),2026-08-29T13:51:51.679754+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-9B16561B76,SYN-CUST-00049,160.48,Marriott Luxury Hotels (Synthetic),lodging,"Austin, TX",US,SYN-DEV-00306-D458C6,198.51.103.164,Edge 128.0 (Windows 11),2026-08-29T13:52:45.442430+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-AE53F7C122,SYN-CUST-00042,88.14,Starbucks Coffee #1042 (Synthetic),dining,Berlin,DE,SYN-DEV-00047-8A8251,192.0.2.89,Opera 113.0 (Windows 11),2026-08-29T13:55:07.429324+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-A2F2E03BBD,SYN-CUST-00059,127.13,Best Buy Supercenter (Synthetic),electronics,"Chicago, IL",US,SYN-DEV-00157-E12A62,198.51.102.147,Samsung Internet 25.0 (Android 14),2026-08-29T13:55:54.291656+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-8583500457,SYN-CUST-00074,95.07,Shell Express Fuel (Synthetic),fuel_dispenser,"Toronto, ON",CA,SYN-DEV-00303-A911A0,198.18.0.176,Firefox 130.0 (Windows 10),2026-08-29T13:56:57.366005+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-DA3A5646C6,SYN-CUST-00136,146.01,FreshMart Supermarket (Synthetic),grocery,"Toronto, ON",CA,SYN-DEV-00663-908472,198.18.0.147,Firefox 130.0 (Linux x86_64),2026-08-29T13:57:37.836438+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-CD78814D3C,SYN-CUST-00098,3.5,FreshMart Supermarket (Synthetic),grocery,Berlin,DE,SYN-DEV-00629-719265,192.0.2.221,Chrome Mobile 128.0 (Android 14),2026-08-29T13:58:38.456373+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-3CEF22A5EA,SYN-CUST-00002,122.77,Delta Air Lines E-Ticket (Synthetic),airlines,"New York, NY",US,SYN-DEV-00180-C34263,198.51.100.140,Firefox 130.0 (Linux x86_64),2026-08-29T13:58:49.869503+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-8E3DA24F0F,SYN-CUST-00191,18.38,Starbucks Coffee #1042 (Synthetic),dining,"New York, NY",US,SYN-DEV-00600-1984D8,198.51.100.185,Opera 113.0 (Windows 11),2026-08-29T13:59:29.455719+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-C7B76128F4,SYN-CUST-00071,36.75,Chipotle Mexican Grill (Synthetic),dining,"Toronto, ON",CA,SYN-DEV-00041-98A709,198.18.0.12,Chrome Mobile 128.0 (Android 14),2026-08-29T13:59:45.182769+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-ULOC-EFAE43BE56,SYN-CUST-00020,1342.15,PrivatBank Offshore Remittance (Synthetic),offshore_banking,Lagos,NG,SYN-DEV-GEO-6914893D,198.51.107.10,Tor Browser / Anonymous Onion (v13.5),2026-08-29T14:00:09.892411+00:00,1,unusual_location_fraud,True,"Impossible geo-velocity leap: transaction originating in Lagos (NG) vs cardholder home Sydney, NSW."
SYN-TX-NORM-5C41E059A9,SYN-CUST-00047,189.07,Amazon Marketplace Online (Synthetic),ecommerce,Manchester,GB,SYN-DEV-00423-79FB88,203.0.114.114,Firefox 130.0 (Linux x86_64),2026-08-29T14:00:24.122943+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-DEFF9CC5A4,SYN-CUST-00120,108.12,Chipotle Mexican Grill (Synthetic),dining,"San Francisco, CA",US,SYN-DEV-00119-B27126,198.51.101.27,Edge 128.0 (Windows 11),2026-08-29T14:01:07.584619+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-6AE7D635D6,SYN-CUST-00236,234.03,Chipotle Mexican Grill (Synthetic),dining,Munich,DE,SYN-DEV-00265-9A0413,192.0.3.161,Firefox 130.0 (Linux x86_64),2026-08-29T14:04:12.450017+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-063F02563E,SYN-CUST-00008,242.77,Uber Rides & Eats (Synthetic),transportation,Berlin,DE,SYN-DEV-00568-84CBE0,192.0.2.56,Chrome Mobile 128.0 (Android 14),2026-08-29T14:05:52.973046+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-C491E2E149,SYN-CUST-00142,87.59,Marriott Luxury Hotels (Synthetic),lodging,"Sydney, NSW",AU,SYN-DEV-00104-A09DB7,198.19.0.234,Firefox 130.0 (Windows 10),2026-08-29T14:05:53.769489+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-CFB540EF8F,SYN-CUST-00225,111.32,Marriott Luxury Hotels (Synthetic),lodging,"Sydney, NSW",AU,SYN-DEV-00618-31AD00,198.19.0.157,Brave 1.69 (macOS),2026-08-29T14:08:47.669698+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-HIGH-1B20730C1F,SYN-CUST-00246,5288.38,Grand Royale Online Casino (Synthetic),gambling_casino,Manchester,GB,SYN-DEV-00621-BBB178,203.0.114.62,Edge 128.0 (Windows 11),2026-08-29T14:12:48.826934+00:00,1,high_amount_fraud,True,Abrupt amount anomaly: $5288.38 vs typical baseline $80.04 (>15x sigma).
SYN-TX-NORM-619E0F30D8,SYN-CUST-00211,111.03,Shell Express Fuel (Synthetic),fuel_dispenser,"Toronto, ON",CA,SYN-DEV-00339-D94C39,198.18.0.89,Brave 1.69 (macOS),2026-08-29T14:15:19.266800+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-180073172E,SYN-CUST-00072,61.02,Best Buy Supercenter (Synthetic),electronics,Tokyo,JP,SYN-DEV-00407-C38434,203.0.115.108,Samsung Internet 25.0 (Android 14),2026-08-29T14:15:47.152457+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-B14CF5DC25,SYN-CUST-00008,125.13,Apple Store Flagship (Synthetic),electronics,Berlin,DE,SYN-DEV-00568-84CBE0,192.0.2.18,Chrome Mobile 128.0 (Android 14),2026-08-29T14:17:49.710242+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-3832B8DE48,SYN-CUST-00062,65.61,Walgreens Pharmacy (Synthetic),pharmacy,Paris,FR,SYN-DEV-00316-AACD76,192.0.4.242,Firefox 130.0 (Linux x86_64),2026-08-29T14:18:44.699438+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-2329064048,SYN-CUST-00121,3.5,Walgreens Pharmacy (Synthetic),pharmacy,Manchester,GB,SYN-DEV-00266-3EB761,203.0.114.64,Firefox 130.0 (Windows 10),2026-08-29T14:21:54.903476+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-1341686529,SYN-CUST-00004,109.0,Netflix Subscription Service (Synthetic),digital_goods,"San Francisco, CA",US,SYN-DEV-00447-080D11,198.51.101.226,Samsung Internet 25.0 (Android 14),2026-08-29T14:22:28.861824+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-00A7BE1B45,SYN-CUST-00185,99.78,Shell Express Fuel (Synthetic),fuel_dispenser,"Sydney, NSW",AU,SYN-DEV-00395-D3FA41,198.19.0.218,Chrome 128.0 (Windows 11),2026-08-29T14:23:28.937229+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-F990BF68AF,SYN-CUST-00132,5.5,FreshMart Supermarket (Synthetic),grocery,Manchester,GB,SYN-DEV-00051-98E12E,203.0.114.118,Edge 128.0 (Windows 11),2026-08-29T14:25:47.147025+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-581E81768C,SYN-CUST-00064,128.46,Walgreens Pharmacy (Synthetic),pharmacy,Manchester,GB,SYN-DEV-00183-C22DCA,203.0.114.170,Safari 17.5 (iOS 17.5 iPhone),2026-08-29T14:27:38.720680+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-D271A4810B,SYN-CUST-00214,146.59,Chipotle Mexican Grill (Synthetic),dining,Tokyo,JP,SYN-DEV-00079-D9608B,203.0.115.194,Samsung Internet 25.0 (Android 14),2026-08-29T14:29:33.143183+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-E82B8255FD,SYN-CUST-00197,114.87,Target Superstore #482 (Synthetic),retail,Manchester,GB,SYN-DEV-00258-3702BB,203.0.114.243,Opera 113.0 (Windows 11),2026-08-29T14:30:26.837597+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-CF7E293286,SYN-CUST-00079,292.39,Shell Express Fuel (Synthetic),fuel_dispenser,"Toronto, ON",CA,SYN-DEV-00714-5A46A7,198.18.0.66,Edge 128.0 (Windows 11),2026-08-29T14:32:17.634572+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-6904D36C19,SYN-CUST-00167,56.05,Uber Rides & Eats (Synthetic),transportation,"Austin, TX",US,SYN-DEV-00548-F9F187,198.51.103.47,Samsung Internet 25.0 (Android 14),2026-08-29T14:33:48.898147+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-95DB09171D,SYN-CUST-00188,270.91,Nike Town Global (Synthetic),apparel,"New York, NY",US,SYN-DEV-00466-08778A,198.51.100.38,Samsung Internet 25.0 (Android 14),2026-08-29T14:34:35.426137+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-F2EA37BF6E,SYN-CUST-00189,280.15,Shell Express Fuel (Synthetic),fuel_dispenser,"Sydney, NSW",AU,SYN-DEV-00561-CC28CA,198.19.0.91,Chrome 128.0 (macOS Sonoma),2026-08-29T14:34:46.597800+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-C7D203C9B8,SYN-CUST-00002,92.85,Target Superstore #482 (Synthetic),retail,"New York, NY",US,SYN-DEV-00441-489870,198.51.100.232,Firefox 130.0 (Linux x86_64),2026-08-29T14:37:26.640707+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-BFEE76CB77,SYN-CUST-00222,178.44,Starbucks Coffee #1042 (Synthetic),dining,Paris,FR,SYN-DEV-00614-E26D25,192.0.4.234,Brave 1.69 (macOS),2026-08-29T14:40:59.731287+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-B32D2AEB2D,SYN-CUST-00054,126.21,Shell Express Fuel (Synthetic),fuel_dispenser,Munich,DE,SYN-DEV-00297-91637B,192.0.3.135,Chrome 128.0 (Windows 11),2026-08-29T14:41:57.588142+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-55B561A507,SYN-CUST-00064,133.03,Starbucks Coffee #1042 (Synthetic),dining,Manchester,GB,SYN-DEV-00183-C22DCA,203.0.114.79,Samsung Internet 25.0 (Android 14),2026-08-29T14:44:26.119149+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-7BC5F24CE5,SYN-CUST-00067,281.81,Amazon Marketplace Online (Synthetic),ecommerce,Paris,FR,SYN-DEV-00058-B2040F,192.0.4.239,Samsung Internet 25.0 (Android 14),2026-08-29T14:45:57.130310+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-656FCD49DA,SYN-CUST-00219,180.84,FreshMart Supermarket (Synthetic),grocery,Manchester,GB,SYN-DEV-00494-ECA554,203.0.114.240,Samsung Internet 25.0 (Android 14),2026-08-29T14:46:22.875260+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-7DFC82CC82,SYN-CUST-00134,87.62,Target Superstore #482 (Synthetic),retail,"San Francisco, CA",US,SYN-DEV-00067-3950FC,198.51.101.180,Brave 1.69 (macOS),2026-08-29T14:46:46.660010+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-2D6CFB65D3,SYN-CUST-00109,188.4,Target Superstore #482 (Synthetic),retail,Tokyo,JP,SYN-DEV-00749-E9DD7B,203.0.115.200,Firefox 130.0 (Windows 10),2026-08-29T14:48:19.897380+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-B6C041898A,SYN-CUST-00220,65.54,Marriott Luxury Hotels (Synthetic),lodging,"Chicago, IL",US,SYN-DEV-00617-43D48D,198.51.102.43,Brave 1.69 (macOS),2026-08-29T14:50:12.877184+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-3C6D386870,SYN-CUST-00117,113.73,Target Superstore #482 (Synthetic),retail,"Sydney, NSW",AU,SYN-DEV-00013-472BF8,198.19.0.97,Safari 17.5 (iOS 17.5 iPhone),2026-08-29T14:51:42.174617+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-E1E0E3EE22,SYN-CUST-00096,53.12,Walgreens Pharmacy (Synthetic),pharmacy,Munich,DE,SYN-DEV-00534-11C542,192.0.3.170,Chrome Mobile 128.0 (Android 14),2026-08-29T14:53:15.265795+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-FD8A18E4C4,SYN-CUST-00218,134.76,FreshMart Supermarket (Synthetic),grocery,Tokyo,JP,SYN-DEV-00649-2F4D8A,203.0.115.207,Firefox 130.0 (Linux x86_64),2026-08-29T14:55:49.610550+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-387C7334AE,SYN-CUST-00192,112.93,Shell Express Fuel (Synthetic),fuel_dispenser,Paris,FR,SYN-DEV-00429-8BD53F,192.0.4.75,Edge 128.0 (Windows 11),2026-08-29T14:58:00.037659+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-B87619A57C,SYN-CUST-00240,46.27,Netflix Subscription Service (Synthetic),digital_goods,Manchester,GB,SYN-DEV-00589-EC40ED,203.0.114.19,Safari 17.5 (iOS 17.5 iPhone),2026-08-29T14:59:43.359867+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-C71E76E29A,SYN-CUST-00104,238.15,FreshMart Supermarket (Synthetic),grocery,Paris,FR,SYN-DEV-00043-C38658,192.0.4.213,Safari 17.5 (macOS Sonoma),2026-08-29T15:03:19.490740+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-69C5CEB2E9,SYN-CUST-00204,193.99,Delta Air Lines E-Ticket (Synthetic),airlines,Paris,FR,SYN-DEV-00642-A2136D,192.0.4.170,Safari 17.5 (macOS Sonoma),2026-08-29T15:05:01.098106+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-EBFAF06B5E,SYN-CUST-00139,27.51,Uber Rides & Eats (Synthetic),transportation,Tokyo,JP,SYN-DEV-00225-905744,203.0.115.178,Firefox 130.0 (Windows 10),2026-08-29T15:08:52.822290+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-79C9AC0C1D,SYN-CUST-00006,62.55,Walgreens Pharmacy (Synthetic),pharmacy,"Sydney, NSW",AU,SYN-DEV-00476-C39710,198.19.0.236,Opera 113.0 (Windows 11),2026-08-29T15:08:55.437562+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-401A1A0489,SYN-CUST-00232,167.77,Amazon Marketplace Online (Synthetic),ecommerce,Munich,DE,SYN-DEV-00207-E49072,192.0.3.202,Chrome 128.0 (Windows 11),2026-08-29T15:10:16.354716+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-75E12B2AAC,SYN-CUST-00048,247.24,Uber Rides & Eats (Synthetic),transportation,"Sydney, NSW",AU,SYN-DEV-00539-25FA33,198.19.0.209,Safari 17.5 (iOS 17.5 iPhone),2026-08-29T15:13:30.438936+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-6DEE8E442A,SYN-CUST-00205,42.65,Netflix Subscription Service (Synthetic),digital_goods,Tokyo,JP,SYN-DEV-00039-458B6F,203.0.115.60,Chrome 128.0 (Windows 11),2026-08-29T15:16:39.816278+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-E2DB753A49,SYN-CUST-00100,42.51,FreshMart Supermarket (Synthetic),grocery,Manchester,GB,SYN-DEV-00633-2068CC,203.0.114.29,Opera 113.0 (Windows 11),2026-08-29T15:18:15.354648+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-C2B0291F78,SYN-CUST-00203,110.49,Amazon Marketplace Online (Synthetic),ecommerce,Paris,FR,SYN-DEV-00290-66FEFC,192.0.4.111,Samsung Internet 25.0 (Android 14),2026-08-29T15:19:32.444683+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-C954A75C03,SYN-CUST-00235,25.03,Apple Store Flagship (Synthetic),electronics,Paris,FR,SYN-DEV-00120-38B340,192.0.4.228,Samsung Internet 25.0 (Android 14),2026-08-29T15:23:58.831329+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-D609F6AAC9,SYN-CUST-00125,36.24,FreshMart Supermarket (Synthetic),grocery,"Chicago, IL",US,SYN-DEV-00529-D1BA76,198.51.102.78,Firefox 130.0 (Linux x86_64),2026-08-29T15:24:28.179757+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
